Word,Frequency
y,15477
ya,7730
na,4631
gui,4123
sija,3631
yan,2958
ni,2813
si,2354
para,1629
ti,1487
sa,1450
güiya,1242
taotao,1240
anae,1117
ayo,1087
ilegña,1077
nu,1061
lao,1020
guiya,1013
todo,965
jamyo,959
yuus,848
este,824
güe,818
pot,811
jeova,749
jesus,681
guajo,668
nae,662
un,654
jago,599
as,522
jafa,510
tano,476
o,424
yo,411
locue,402
esta,389
guinin,386
ilegñija,382
jaane,364
jao,364
taya,344
señot,330
yaguin,326
mato,320
guaja,313
magajet,298
asta,296
uno,295
güije,281
megae,274
langet,273
lajin,255
jaye,237
taegüije,237
contra,236
jilo,232
siña,230
otro,223
qui,221
gaegue,218
taejinecog,213
mas,201
jalom,200
mauleg,200
guato,197
pago,193
manmato,184
talo,184
jusangane,181
sinangan,179
polo,178
güinaja,174
estagüe,174
linajyan,164
pedro,160
papa,159
dos,159
salmo,157
pat,154
bae,154
magas,149
mina,149
tiempo,149
dangculo,146
juyong,146
jerusalem,145
tata,145
espiritu,143
palo,143
pablo,140
ray,137
taelaye,137
cajulo,137
jalie,135
juan,135
disipuluña,133
yanguin,133
chamo,132
menan,130
ayonae,130
siuda,130
desde,129
manope,127
palaoan,124
chalan,123
entalo,121
profeta,119
lugat,118
capitulo,118
di,116
estesija,115
israel,114
antijo,113
guine,111
güine,109
jafatinas,108
enseguidas,107
iya,107
janom,107
munjayan,105
pan,103
manaelaye,102
mapos,102
jumanao,102
naanña,101
guima,100
mangaegue,100
jatungo,99
jumalom,99
patgon,99
judio,99
jajungog,99
estaba,98
tase,98
fariseo,98
raenon,98
enao,98
japolo,98
julo,95
nasion,94
inagang,94
inetnon,92
famaguon,91
canaeña,91
acho,91
malago,90
ada,88
jasangan,88
cada,88
tres,86
chamiyo,86
disipulo,86
fumatinas,86
mamale,86
jaftaemano,85
sumaga,84
jumuyong,84
ufato,84
manunas,82
uguaja,81
intingo,81
todos,80
manmatae,79
canae,77
simon,77
puenge,76
jatago,76
despues,76
jame,75
janae,75
david,74
mandaña,73
ylegña,73
siempre,71
janao,71
naftan,71
naanmo,70
jagasja,70
santo,70
batco,70
naan,69
generasion,69
testimonio,69
ora,68
fangualuan,67
dangculon,67
canaemo,67
galilea,66
moises,66
enaomina,66
jijot,65
jutungo,65
agapa,65
calang,65
malie,64
angjet,63
sila,63
templo,63
antes,63
corasonjo,63
tinago,63
tunas,62
mano,62
tentago,62
manmalago,62
oriyan,62
señat,61
minagof,61
matae,61
iyon,61
quinilo,61
manjanao,61
judios,61
guma,60
guafe,60
yuusso,60
linâlâ,60
jayeja,58
matungo,58
tinaelaye,57
jita,57
biaje,56
entonses,56
tininas,56
jacob,56
jatutujon,56
escriba,56
entre,56
anite,56
malofan,55
güiyaja,55
jachule,54
inlie,54
grasias,54
bula,54
minaaseña,54
muna,54
maria,54
parejo,53
santos,53
checho,53
maestro,53
susede,52
cristo,52
sabado,52
finenana,52
macone,52
nanaña,51
manglo,51
dose,51
parejoja,50
taemanoja,50
sendalo,50
mientras,50
sinanganmo,49
acomparasion,49
mapolo,49
gagaegue,49
corason,48
manjalom,48
an,48
manmaañao,48
quiluus,48
namaesa,48
finatae,47
trongcon,47
tumago,47
pas,47
herodes,47
matugue,47
abraham,46
mafatinas,46
lay,46
minalag,46
jufatinas,46
malag,46
manmapos,45
guipot,45
jaagang,45
isao,45
desierto,45
lajiña,45
minagajet,45
ngaean,45
junggan,45
jasangane,45
ay,45
mañasaga,45
junae,44
manamco,44
sinagoga,44
salape,44
didide,44
ninasiña,44
mañelo,43
taegüine,43
mafanaan,43
mangajulo,43
gentiles,43
jacone,43
jalilis,43
corasonñija,43
majungog,43
menamo,43
guimayuus,43
menaña,42
tentagomo,42
egso,42
nesesita,42
tumungo,42
pilato,42
candet,42
tinigue,42
umapuno,41
jusangan,41
jiloñija,41
trabia,41
finijo,41
jaanin,41
josé,41
injenggue,40
apostoles,40
nuebo,40
matachong,40
finatinasña,40
sion,40
