Word,Frequency,Category
potlilo,2,Outlier-Low
infanasoda,2,Outlier-Low
senguaguan,2,Outlier-Low
sensiyo,2,Outlier-Low
maaagang,2,Outlier-Low
tinayuyutmo,2,Outlier-Low
finatinasñaja,2,Outlier-Low
uninapase,2,Outlier-Low
papapa,2,Outlier-Low
jutayuyutjao,2,Outlier-Low
patgonñija,2,Outlier-Low
tunico,2,Outlier-Low
estadio,2,Outlier-Low
ujadalalag,2,Outlier-Low
juayig,2,Outlier-Low
mantica,2,Outlier-Low
innasiña,2,Outlier-Low
manseguro,2,Outlier-Low
inigoñija,2,Outlier-Low
timalago,2,Outlier-Low
pumetsisigue,2,Outlier-Low
inae,2,Outlier-Low
naregla,2,Outlier-Low
mabira,2,Outlier-Low
juchico,2,Outlier-Low
tinaetaeña,2,Outlier-Low
mamoblemo,2,Outlier-Low
aninengña,2,Outlier-Low
apolos,2,Outlier-Low
infanojgue,2,Outlier-Low
ufanquinano,2,Outlier-Low
suegraña,2,Outlier-Low
uguia,2,Outlier-Low
sinala,2,Outlier-Low
uutut,2,Outlier-Low
guminem,2,Outlier-Low
dano,2,Outlier-Low
jumalomyo,2,Outlier-Low
aposentuña,2,Outlier-Low
rejas,2,Outlier-Low
ninagoslalalo,2,Outlier-Low
jaatitutuye,2,Outlier-Low
lajeñija,2,Outlier-Low
umaasegura,2,Outlier-Low
cumuentosyo,2,Outlier-Low
nasionmo,2,Outlier-Low
malofanja,2,Outlier-Low
juentrega,2,Outlier-Low
balotña,2,Outlier-Low
japagat,2,Outlier-Low
egsomo,2,Outlier-Low
guinatbo,2,Outlier-Low
yutejao,2,Outlier-Low
linala,2,Outlier-Low
consuelo,2,Outlier-Low
unpetsisigueyo,2,Outlier-Low
uninapodong,2,Outlier-Low
uninasie,2,Outlier-Low
leca,2,Outlier-Low
embidia,2,Outlier-Low
finanagüenñija,2,Outlier-Low
mumemegae,2,Outlier-Low
umintrega,2,Outlier-Low
licaonia,2,Outlier-Low
manmaego,2,Outlier-Low
janafanjalom,2,Outlier-Low
cumuentuse,2,Outlier-Low
jeconias,2,Outlier-Low
ratoja,2,Outlier-Low
munamayengyong,2,Outlier-Low
pentecostes,2,Outlier-Low
ujaecungogja,2,Outlier-Low
jayamag,2,Outlier-Low
ufanmacumple,2,Outlier-Low
jalolom,2,Outlier-Low
fanogcha,2,Outlier-Low
manmaentrega,2,Outlier-Low
justo,2,Outlier-Low
torijo,2,Outlier-Low
jaecungogjao,2,Outlier-Low
guaguaja,2,Outlier-Low
inayigco,2,Outlier-Low
jutagpange,2,Outlier-Low
atadogmame,2,Outlier-Low
untalo,2,Outlier-Low
fandadaña,2,Outlier-Low
manyuyute,2,Outlier-Low
jinisgaña,2,Outlier-Low
funas,2,Outlier-Low
palasyoña,2,Outlier-Low
urico,2,Outlier-Low
ujaosgueyo,2,Outlier-Low
nesesida,2,Outlier-Low
gosmagajet,2,Outlier-Low
gaega,2,Outlier-Low
basula,2,Outlier-Low
janasagayo,2,Outlier-Low
bronse,2,Outlier-Low
marifa,2,Outlier-Low
fañañaque,2,Outlier-Low
manmapapatte,2,Outlier-Low
juguinem,2,Outlier-Low
ufangone,2,Outlier-Low
jilata,2,Outlier-Low
chumague,2,Outlier-Low
talangajo,2,Outlier-Low
sino,2,Outlier-Low
griega,2,Outlier-Low
pidasito,2,Outlier-Low
chuda,2,Outlier-Low
liniemo,2,Outlier-Low
junafanminagago,2,Outlier-Low
juramentoña,2,Outlier-Low
umatompo,2,Outlier-Low
seaja,2,Outlier-Low
uminantiene,2,Outlier-Low
neñicot,2,Outlier-Low
ninafanlalalo,2,Outlier-Low
aristarcho,2,Outlier-Low
señatmo,2,Outlier-Low
ocodo,2,Outlier-Low
dinesparejo,2,Outlier-Low
tertulo,2,Outlier-Low
jasesetbe,2,Outlier-Low
balen,2,Outlier-Low
minajo,2,Outlier-Low
jufatoigüe,2,Outlier-Low
parabola,2,Outlier-Low
guaeyayon,2,Outlier-Low
jinengguenñija,2,Outlier-Low
machulie,2,Outlier-Low
insujejeta,2,Outlier-Low
gumupo,2,Outlier-Low
alacran,2,Outlier-Low
ombre,2,Outlier-Low
jaguflie,2,Outlier-Low
ancho,2,Outlier-Low
canaenmiyo,2,Outlier-Low
guajaja,2,Outlier-Low
ufañetbe,2,Outlier-Low
rineprende,2,Outlier-Low
munamamajlao,2,Outlier-Low
indalalag,2,Outlier-Low
unnalâlâyo,2,Outlier-Low
minaañaoñija,2,Outlier-Low
masanganñaejon,2,Outlier-Low
mañasagaja,2,Outlier-Low
maapapase,2,Outlier-Low
jara,2,Outlier-Low
jumanacalamten,2,Outlier-Low
inqueneyo,2,Outlier-Low
umaangoco,2,Outlier-Low
mangachochongmo,2,Outlier-Low
jaopeyo,2,Outlier-Low
peble,2,Outlier-Low
ugüinaeya,2,Outlier-Low
naaatog,2,Outlier-Low
maposyo,2,Outlier-Low
denarion,2,Outlier-Low
prisipen,2,Outlier-Low
tafanmamatinas,2,Outlier-Low
maninefende,2,Outlier-Low
betfage,2,Outlier-Low
jajatot,2,Outlier-Low
cristojao,2,Outlier-Low
laapmam,2,Outlier-Low
satbadotñija,2,Outlier-Low
fumanuejit,2,Outlier-Low
tribuna,2,Outlier-Low
copan,2,Outlier-Low
ufanbendise,2,Outlier-Low
liniijo,2,Outlier-Low
untugue,2,Outlier-Low
janafangalamten,2,Outlier-Low
sinaluda,2,Outlier-Low
uliiyo,2,Outlier-Low
jilomame,2,Outlier-Low
vitgen,2,Outlier-Low
ufanparejo,2,Outlier-Low
umogagao,2,Outlier-Low
magagaoña,2,Outlier-Low
ufangagao,2,Outlier-Low
sacude,2,Outlier-Low
luto,2,Outlier-Low
manmasaulag,2,Outlier-Low
umasapit,2,Outlier-Low
lysias,3,Low
jaresibeja,3,Low
carruaje,3,Low
finañagon,3,Low
juaagangjao,3,Low
mañelu,3,Low
gaponulonmiyo,3,Low
lumamegae,3,Low
ujapolo,3,Low
lalaet,3,Low
juereda,3,Low
manmacumple,3,Low
ujaso,3,Low
madudog,3,Low
jatagojit,3,Low
amano,3,Low
dañujo,3,Low
unsasangan,3,Low
maniisao,3,Low
usonggue,3,Low
umanasaga,3,Low
querubin,3,Low
nasionjo,3,Low
jupiter,3,Low
ufangobietna,3,Low
bernise,3,Low
jajusga,3,Low
manparientesmo,3,Low
selote,3,Low
entalonmiyo,3,Low
infansenmagof,3,Low
ministroña,3,Low
espongja,3,Low
maestrosala,3,Low
cumumple,3,Low
janatunog,3,Low
jetnon,3,Low
peligro,3,Low
manamalag,3,Low
danges,3,Low
ninasenmagof,3,Low
aminadab,3,Low
patangñija,3,Low
lansa,3,Low
jechuran,3,Low
manaetaejao,3,Low
jachico,3,Low
jaapaseyo,3,Low
cuentan,3,Low
umababaye,3,Low
jurespeta,3,Low
tolang,3,Low
gasgasjao,3,Low
ususede,3,Low
chamojam,3,Low
fanmanbendise,3,Low
infanbasnag,3,Low
manfinaesen,3,Low
pinitiña,3,Low
jaconsiente,3,Low
oraña,3,Low
alabansamo,3,Low
yuusña,3,Low
claudio,3,Low
jusiña,3,Low
ujadague,3,Low
manisija,3,Low
inliiyo,3,Low
ufanmayengyong,3,Low
jusungon,3,Low
corasonta,3,Low
tiempoña,3,Low
berea,3,Low
chatliion,3,Low
mangongoco,3,Low
preparasion,3,Low
saqueo,3,Low
pajaron,3,Low
inliija,3,Low
minamo,3,Low
galión,3,Low
ninachatsaga,3,Low
bancon,3,Low
ufanmatungo,3,Low
pasmiyo,3,Low
promesamo,3,Low
magagumo,3,Low
jasesetmon,3,Low
baston,3,Low
umaliligaojao,3,Low
siudañija,3,Low
cuatto,3,Low
sinetbe,3,Low
apasñija,3,Low
chalanñija,3,Low
ujajonggue,3,Low
pueblo,3,Low
manguinin,3,Low
linecaña,3,Low
ufanmachocho,3,Low
areopago,3,Low
jujuto,3,Low
ninabula,3,Low
janafangajulo,3,Low
manjomlo,3,Low
dilubio,3,Low
entresija,3,Low
yano,3,Low
juguaja,3,Low
jabababa,3,Low
námanman,3,Low
lalango,3,Low
judingo,3,Low
japetsigue,3,Low
fanmanaetae,3,Low
lason,3,Low
linilisja,3,Low
batbas,3,Low
lâlâyo,3,Low
oriyamo,3,Low
fanmañangangane,3,Low
unpetsisigue,3,Low
jufalagüe,3,Low
santosmo,3,Low
asgon,3,Low
machúchuda,3,Low
inadajiña,3,Low
papet,3,Low
mafañagoña,3,Low
yamo,3,Low
gumiguimenyo,3,Low
manlibre,3,Low
siñajit,3,Low
manmaayeg,3,Low
jinaja,3,Low
lalajen,3,Low
bason,3,Low
sacate,3,Low
chechoñiñija,3,Low
metcado,3,Low
uchague,3,Low
monton,3,Low
taquiloña,3,Low
mangachongñiñija,3,Low
jachoma,3,Low
siesiempreja,3,Low
jaguimen,3,Low
ujomjom,3,Low
vosso,3,Low
ualigao,3,Low
filistia,3,Low
jaonra,3,Low
manmaresibe,3,Low
umagangyo,3,Low
minamajlaoñija,3,Low
ujaplanta,3,Low
entalomiyo,3,Low
mafag,3,Low
mangosmagof,3,Low
umosgue,3,Low
ufantaegüije,3,Low
ufanagüe,3,Low
moab,3,Low
milag,3,Low
solo,3,Low
innajanao,3,Low
jumaañao,3,Low
matatampe,3,Low
ninalibre,3,Low
unmapolo,3,Low
diesiocho,3,Low
tayayo,3,Low
premioñija,3,Low
oron,3,Low
asno,3,Low
umafaaela,3,Low
suegran,3,Low
finaboresemo,3,Low
sendalonmame,3,Low
patseno,3,Low
maleta,3,Low
umegae,3,Low
antiñija,3,Low
japrofetisa,3,Low
manlâlâ,3,Low
ñalangyo,3,Low
unalibre,11,Medium
patang,9,Medium
jumajatsa,5,Medium
biju,4,Medium
todoja,9,Medium
taesetbe,5,Medium
mananangga,4,Medium
manfaye,5,Medium
eli,5,Medium
fumamauleg,4,Medium
tipo,4,Medium
tanon,6,Medium
amigujo,4,Medium
untungoja,5,Medium
umoriyayeyo,6,Medium
bartolome,4,Medium
tale,6,Medium
malagomo,10,Medium
galileo,6,Medium
unbaba,5,Medium
umaalog,7,Medium
manbiuda,6,Medium
ja,12,Medium
dinalalag,6,Medium
manmannae,8,Medium
matañija,5,Medium
mafañagon,8,Medium
manparejoja,9,Medium
talangañija,4,Medium
infanguaeya,4,Medium
pumapacha,4,Medium
pumapara,4,Medium
costumbren,6,Medium
pamfilia,5,Medium
manfinenana,4,Medium
umafañago,6,Medium
tronon,4,Medium
ufalag,4,Medium
minagagago,5,Medium
achojo,10,Medium
minetgotña,8,Medium
unjonggue,13,Medium
magagon,9,Medium
mateo,8,Medium
ninanggaco,5,Medium
pilan,11,Medium
unchatlie,4,Medium
inpino,12,Medium
fijom,5,Medium
ñinalang,9,Medium
chetnotñija,4,Medium
matogüe,5,Medium
agapaña,5,Medium
jamantiene,9,Medium
minatatnga,5,Medium
lalalo,4,Medium
manananom,5,Medium
jale,4,Medium
manmalalago,6,Medium
jaguaeya,14,Medium
jatalo,4,Medium
masedonia,10,Medium
umaatane,7,Medium
isaojo,11,Medium
mañoda,11,Medium
sebedeo,12,Medium
injajaso,6,Medium
cumequeilegña,15,Medium
liija,6,Medium
fumaguon,4,Medium
quiluusña,7,Medium
inresibe,11,Medium
inemog,8,Medium
maase,7,Medium
inasie,6,Medium
ibangelio,13,Medium
songsong,8,Medium
enimigoñija,4,Medium
laguse,4,Medium
disipulumo,9,Medium
mancojo,5,Medium
guinagaojo,7,Medium
mafagase,6,Medium
dadao,4,Medium
antiña,9,Medium
inliijao,4,Medium
unnaeyo,11,Medium
mamuno,8,Medium
piniten,5,Medium
manmacone,9,Medium
causan,7,Medium
manmamatitinas,7,Medium
aposento,6,Medium
adora,5,Medium
nubiyo,8,Medium
ninasiñañija,6,Medium
ilegmo,12,Medium
mansobetbio,10,Medium
umaentrega,13,Medium
unadora,6,Medium
biuda,11,Medium
taelayen,5,Medium
erensiañija,4,Medium
simiento,5,Medium
gaesisiña,6,Medium
infanmatagpange,5,Medium
unjungog,6,Medium
jatanme,4,Medium
yaña,8,Medium
fanjajalom,5,Medium
mayulang,6,Medium
ucone,7,Medium
umaasie,8,Medium
manábale,4,Medium
manáplacha,7,Medium
coronan,4,Medium
jalilie,8,Medium
unnaatog,4,Medium
vos,5,Medium
atanja,4,Medium
finenena,4,Medium
promesajo,5,Medium
guajayo,9,Medium
jinanaojo,6,Medium
raenomo,7,Medium
injisga,10,Medium
todot,14,Medium
cadena,9,Medium
judalalag,4,Medium
beca,7,Medium
mandoco,10,Medium
plato,8,Medium
finabeca,5,Medium
minagago,4,Medium
inatan,4,Medium
jagobiebietna,6,Medium
agaga,12,Medium
unopeyo,4,Medium
timoteo,6,Medium
taeninasiña,4,Medium
asia,15,Medium
umentregayo,4,Medium
taegüe,14,Medium
isaomiyo,10,Medium
jagajo,5,Medium
innesesita,4,Medium
unresibe,5,Medium
talanganmiyo,4,Medium
sigue,11,Medium
tininasso,6,Medium
umarechasa,4,Medium
troas,4,Medium
pebble,10,Medium
annas,4,Medium
manmapuno,5,Medium
fangajulo,5,Medium
ufamauleg,5,Medium
ninaquepodong,4,Medium
juchatlie,8,Medium
mapopolo,5,Medium
ufanmalofan,8,Medium
jufaesen,6,Medium
ynepe,13,Medium
senmagajet,8,Medium
umasoda,6,Medium
mañantosmo,6,Medium
canaja,5,Medium
inaligao,4,Medium
janaye,4,Medium
jinengguenmiyo,8,Medium
insangan,8,Medium
tatañija,9,Medium
jusaga,8,Medium
familian,4,Medium
usoda,9,Medium
miyo,11,Medium
samaritano,4,Medium
chipre,8,Medium
manmanaliligao,7,Medium
tasen,15,Medium
ufañija,4,Medium
mañaque,6,Medium
mungajit,5,Medium
taotaojo,13,Medium
inamot,6,Medium
tachong,12,Medium
barnabé,23,High
janacajulo,17,High
manmalango,22,High
iluña,16,High
san,21,High
jayute,20,High
jasasangan,20,High
maaliligao,18,High
yuusta,26,High
guimamo,16,High
iyomo,18,High
jusoda,17,High
ofisiat,16,High
pachot,22,High
antioquia,17,High
jadingo,21,High
manjuyong,17,High
matoyo,17,High
cuanto,23,High
chechoñija,16,High
ninae,26,High
causa,25,High
mamoble,25,High
jajatsa,24,High
nañija,18,High
jomjom,21,High
mapagajes,26,High
chule,19,High
jaadaje,19,High
unpolo,20,High
mangachongña,18,High
tinegcha,20,High
